Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.998,1.0,1.0
2,0.868,0.966666666667,0.8
3,0.619,0.874444444444,0.58
4,0.778,0.877777777778,0.76
5,0.857,0.973333333333,0.88
6,0.867,0.972222222222,0.9
7,0.824,0.928888888889,0.87
8,0.885,0.966666666667,0.87
9,0.865,0.94,0.94
10,0.845,0.963333333333,0.82
11,0.891,0.921111111111,0.84
12,0.98,0.996666666667,0.96
13,0.938,0.925555555556,0.94
14,0.938,1.0,0.9
15,0.535,0.62,0.5
16,0.459,0.608888888889,0.46
17,0.525,0.708888888889,0.57
18,0.883,0.914444444444,0.91
19,0.105,0.276666666667,0.08
20,0.997,1.0,1.0
