Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.992,1.0,0.99
2,0.857,0.995555555556,0.79
3,0.617,0.933333333333,0.63
4,0.787,0.902222222222,0.71
5,0.831,0.996666666667,0.9
6,0.924,0.988888888889,0.96
7,0.835,0.957777777778,0.88
8,0.889,0.991111111111,0.92
9,0.704,0.856666666667,0.63
10,0.583,0.818888888889,0.55
11,0.847,0.958888888889,0.81
12,0.982,0.998888888889,0.97
13,0.917,0.963333333333,0.91
14,0.908,1.0,0.89
15,0.981,1.0,0.99
16,0.431,0.643333333333,0.45
17,0.557,0.763333333333,0.57
18,0.907,0.964444444444,0.9
19,0.087,0.252222222222,0.04
20,1.0,1.0,1.0
