Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.995,1.0,1.0
2,0.761,0.997777777778,0.75
3,0.677,0.998888888889,0.72
4,0.788,0.928888888889,0.76
5,0.805,1.0,0.81
6,0.901,1.0,0.91
7,0.868,0.987777777778,0.88
8,0.886,0.996666666667,0.9
9,0.809,0.987777777778,0.81
10,0.652,0.93,0.64
11,0.959,1.0,0.97
12,0.977,1.0,0.96
13,0.968,1.0,0.96
14,0.908,1.0,0.91
15,0.468,0.714444444444,0.54
16,0.465,0.72,0.48
17,0.573,0.774444444444,0.58
18,0.885,0.965555555556,0.87
19,0.113,0.33,0.12
20,0.995,1.0,1.0
