Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.994,1.0,1.0
2,0.798,1.0,0.89
3,0.73,0.997777777778,0.76
4,0.782,0.915555555556,0.77
5,0.85,1.0,0.86
6,0.949,1.0,0.97
7,0.819,0.995555555556,0.81
8,0.867,0.996666666667,0.88
9,0.962,1.0,0.96
10,0.937,1.0,0.98
11,0.983,1.0,1.0
12,0.99,1.0,1.0
13,0.995,1.0,1.0
14,0.946,1.0,0.95
15,0.993,1.0,0.99
16,0.452,0.697777777778,0.47
17,0.538,0.72,0.6
18,0.815,0.95,0.82
19,0.109,0.321111111111,0.13
20,0.992,1.0,0.99
