Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.991,1.0,1.0
2,0.804,1.0,0.83
3,0.574,0.99,0.6
4,0.753,0.963333333333,0.79
5,0.853,0.998888888889,0.89
6,0.886,1.0,0.84
7,0.837,0.998888888889,0.9
8,0.878,0.997777777778,0.93
9,0.808,0.954444444444,0.74
10,0.672,0.96,0.69
11,0.965,1.0,0.94
12,0.986,1.0,0.98
13,0.994,1.0,0.99
14,0.922,1.0,0.93
15,0.474,0.708888888889,0.44
16,0.457,0.734444444444,0.46
17,0.571,0.811111111111,0.66
18,0.912,0.965555555556,0.95
19,0.105,0.286666666667,0.09
20,0.994,1.0,1.0
