Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.997,1.0,1.0
2,0.829,0.996666666667,0.87
3,0.569,0.982222222222,0.69
4,0.769,0.915555555556,0.73
5,0.847,0.997777777778,0.83
6,0.978,1.0,0.98
7,0.882,0.994444444444,0.89
8,0.901,0.998888888889,0.94
9,0.968,0.998888888889,0.97
10,0.926,0.998888888889,0.94
11,0.973,1.0,0.97
12,0.986,1.0,1.0
13,0.994,1.0,0.99
14,0.927,1.0,0.91
15,0.832,0.984444444444,0.9
16,0.44,0.727777777778,0.4
17,0.547,0.751111111111,0.57
18,0.699,0.92,0.83
19,0.107,0.302222222222,0.11
20,0.998,1.0,0.99
