Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.993333333333,1.0,1.0
2,0.986666666667,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,0.933333333333
6,0.993333333333,1.0,1.0
7,0.98,1.0,0.933333333333
8,0.88,1.0,0.933333333333
9,0.94,1.0,0.733333333333
10,0.9,1.0,1.0
11,0.86,1.0,0.866666666667
12,0.9,1.0,0.8
13,0.9,1.0,0.933333333333
14,0.766666666667,0.962962962963,0.733333333333
15,0.626666666667,0.940740740741,0.4
16,0.626666666667,0.97037037037,0.8
17,0.573333333333,0.962962962963,0.733333333333
18,0.64,0.955555555556,0.733333333333
19,0.573333333333,0.940740740741,0.8
20,0.626666666667,0.881481481481,0.4
