Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.995,1.0,1.0
2,0.855,1.0,0.87
3,0.696,1.0,0.71
4,0.982,0.998888888889,0.97
5,0.852,1.0,0.89
6,0.965,1.0,0.97
7,0.838,0.985555555556,0.91
8,0.886,0.995555555556,0.92
9,0.975,1.0,0.97
10,0.926,1.0,0.92
11,0.964,1.0,0.98
12,0.992,1.0,0.98
13,0.995,1.0,1.0
14,0.908,1.0,0.91
15,0.529,0.69,0.63
16,0.448,0.695555555556,0.38
17,0.543,0.727777777778,0.63
18,0.887,0.957777777778,0.97
19,0.104,0.384444444444,0.12
20,1.0,1.0,0.99
